timestamp,username,role,branch,event_type,details
2025-08-27 20:40:12,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-08-27 20:41:40,test,SALESPERSON,HOLON,CONNECTED,User connected to chat server
2025-08-27 20:41:59,dana,SHIFT_MANAGER,TEL_AVIV,CONNECTED,User connected to chat server
2025-08-27 23:59:37,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-08-28 00:01:06,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-08-28 00:02:37,nissim,SALESPERSON,TEL_AVIV,CONNECTED,User connected to chat server
2025-08-28 00:03:17,test,SALESPERSON,HOLON,CONNECTED,User connected to chat server
2025-08-28 00:04:12,dana,SHIFT_MANAGER,TEL_AVIV,CONNECTED,User connected to chat server
2025-08-28 00:05:55,nissim,SALESPERSON,TEL_AVIV,DISCONNECTED,User disconnected from chat server
2025-08-28 00:05:57,test,SALESPERSON,HOLON,DISCONNECTED,User disconnected from chat server
2025-08-28 00:05:59,dana,SHIFT_MANAGER,TEL_AVIV,DISCONNECTED,User disconnected from chat server
2025-09-03 17:40:40,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-09-03 17:54:52,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-09-03 17:55:22,ron,SALESPERSON,HOLON,CONNECTED,User connected to chat server
2025-09-03 17:55:23,noa,SHIFT_MANAGER,RISHON,CONNECTED,User connected to chat server
2025-09-03 18:01:02,ron,SALESPERSON,HOLON,DISCONNECTED,User disconnected from chat server
2025-09-03 18:01:02,ron,SALESPERSON,HOLON,DISCONNECTED,User disconnected from chat server
2025-09-03 18:09:39,noa,SHIFT_MANAGER,RISHON,DISCONNECTED,User disconnected from chat server
2025-09-03 19:30:42,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-09-03 19:38:10,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-09-03 19:38:54,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-09-03 19:38:54,SYSTEM,SYSTEM,SYSTEM,SERVER_STOP,Server stopping
2025-09-03 19:38:54,SYSTEM,SYSTEM,SYSTEM,SERVER_STOP,Server stopping
2025-09-03 20:04:59,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-09-03 20:14:34,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-09-03 20:15:02,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-09-03 20:15:02,SYSTEM,SYSTEM,SYSTEM,SERVER_STOP,Server stopping
2025-09-03 20:15:02,SYSTEM,SYSTEM,SYSTEM,SERVER_STOP,Server stopping
2025-09-03 20:16:43,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-09-03 20:51:15,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-09-03 20:59:44,ron,SALESPERSON,HOLON,CONNECTED,User connected to chat server
2025-09-03 20:59:47,dana,SALESPERSON,HOLON,CONNECTED,User connected to chat server
2025-09-03 21:01:28,dana,SALESPERSON,HOLON,DISCONNECTED,User disconnected from chat server
2025-09-03 21:01:28,dana,SALESPERSON,HOLON,DISCONNECTED,User disconnected from chat server
2025-09-03 21:04:06,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-09-05 13:00:12,SYSTEM,SYSTEM,SYSTEM,SERVER_START,Server started on port 6060
2025-09-05 13:00:15,ron,SALESPERSON,HOLON,CONNECTED,User connected to chat server
2025-09-05 13:00:17,noa,SHIFT_MANAGER,TEL_AVIV,CONNECTED,User connected to chat server
2025-09-05 13:00:42,ron,SALESPERSON,HOLON,DISCONNECTED,User disconnected from chat server
2025-09-05 13:00:48,noa,SHIFT_MANAGER,TEL_AVIV,DISCONNECTED,User disconnected from chat server
2025-09-05 13:00:48,noa,SHIFT_MANAGER,TEL_AVIV,DISCONNECTED,User disconnected from chat server
